"Sector","Symbol"
,"ALL-PF"
"Finance","ALLY"
,"ALLY-PA"
"Public Utilities","ALP-PO"
"Health Care","ALR"
,"ALR-PB"
"Capital Goods","ALSN"
"Capital Goods","ALV"
"Consumer Services","ALX"
"Public Utilities","AM"
"Technology","AMBR"
"Consumer Services","AMC"
"Consumer Durables","AME"
"Consumer Services","AMFW"
"Finance","AMG"
"Public Utilities","AMGP"
"Consumer Services","AMH"
"Consumer Services","AMH-PA"
,"AMH-PB"
,"AMH-PC"
,"AMH-PD"
,"AMH-PE"
,"AMH-PF"
"Public Utilities","AMID"
"Technology","AMN"
"Public Utilities","AMOV"
"Finance","AMP"
"Basic Industries","AMRC"
"Consumer Services","AMT"
,"AMT-PB"
"Public Utilities","AMX"
"Consumer Durables","AN"
"Technology","ANET"
"Consumer Services","ANF"
"Consumer Non-Durables","ANFI"
"Consumer Services","ANH"
,"ANH-PA"
,"ANH-PB"
,"ANH-PC"
"Health Care","ANTM"
"Health Care","ANTX"
"Energy","ANW"
,"AOD"
"Consumer Services","AOI"
"Finance","AON"
"Consumer Durables","AOS"
"Capital Goods","AP"
"Energy","APA"
"Finance","APAM"
,"APB"
"Energy","APC"
"Basic Industries","APD"
,"APF"
"Capital Goods","APH"
"Consumer Services","APLE"
"Finance","APO"
,"APO-PA"
"Consumer Services","APTS"
"Consumer Services","APU"
"Public Utilities","AQN"
"Energy","AR"
"Health Care","ARA"
"Consumer Services","ARC"
"Energy","ARCH"
"Consumer Services","ARCO"
"Energy","ARCX"
"Consumer Durables","ARD"
,"ARDC"
"Consumer Services","ARE"
,"ARE-PD"
"Finance","ARES"
,"ARES-PA"
,"ARH-PC"
"Consumer Services","ARI"
,"ARI-PA"
,"ARI-PC"
"Finance","ARL"
"Consumer Services","ARMK"
"Capital Goods","ARNC"
,"ARNC-PB"
"Public Utilities","AROC"
"Consumer Services","ARR"
,"ARR-PA"
,"ARR-PB"
,"ARU.CL"
"Consumer Non-Durables","ARW"
,"ASA"
"Finance","ASB"
,"ASB-PC"
,"ASB-PD"
"Transportation","ASC"
,"ASG"
"Technology","ASGN"
"Consumer Durables","ASH"
"Basic Industries","ASIX"
"Consumer Services","ASPN"
"Transportation","ASR"
"Technology","ASX"
"Energy","AT"
"Technology","ATEN"
"Consumer Services","ATGE"
"Finance","ATH"
"Technology","ATHM"
"Basic Industries","ATI"
"Miscellaneous","ATKR"
"Public Utilities","ATO"
"Consumer Non-Durables","ATR"
"Public Utilities","ATTO"
"Technology","ATU"
"Consumer Services","ATV"
"Energy","ATW"
"Basic Industries","AU"
"Technology","AUO"
"Basic Industries","AUY"
"Public Utilities","AVA"
"Finance","AVAL"
"Consumer Services","AVB"
"Basic Industries","AVD"
"Transportation","AVH"
,"AVK"
"Consumer Non-Durables","AVP"
"Consumer Non-Durables","AVT"
"Capital Goods","AVX"
"Consumer Durables","AVY"
,"AWF"
"Finance","AWH"
"Consumer Non-Durables","AWI"
"Public Utilities","AWK"
,"AWP"
"Public Utilities","AWR"
"Consumer Non-Durables","AXE"
"Capital Goods","AXL"
"Health Care","AXON"
"Finance","AXP"
"Consumer Services","AXR"
"Finance","AXS"
,"AXS-PD"
,"AXS-PE"
"Basic Industries","AXTA"
"Consumer Durables","AYI"
"Technology","AYR"
"Technology","AYX"
"Health Care","AZN"
"Consumer Services","AZO"
"Public Utilities","AZRE"
"Transportation","AZUL"
"Consumer Durables","AZZ"
"Capital Goods","B"
"Capital Goods","BA"
"Miscellaneous","BABA"
"Finance","BAC"
,"BAC-PA"
,"BAC-PC"
,"BAC-PD"
,"BAC-PE"
,"BAC-PI"
,"BAC-PL"
"Finance","BAC-PW"
"Finance","BAC-PY"
,"BAC.WS.A"
,"BAC.WS.B"
,"BAF"
"Consumer Services","BAH"
"Basic Industries","BAK"
"Consumer Services","BAM"
"Finance","BANC"
,"BANC-PC"
,"BANC-PD"
,"BANC-PE"
"Finance","BAP"
"Energy","BAS"
"Health Care","BAX"
"Finance","BBD"
"Finance","BBDO"
,"BBF"
"Energy","BBG"
,"BBK"
"Energy","BBL"
,"BBN"
"Finance","BBT"
,"BBT-PD"
,"BBT-PE"
,"BBT-PF"
,"BBT-PG"
,"BBT-PH"
"Basic Industries","BBU"
"Finance","BBVA"
"Consumer Services","BBW"
"Consumer Services","BBY"
"Energy","BC"
"Consumer Services","BCC"
"Public Utilities","BCE"
"Energy","BCEI"
"Finance","BCH"
"Transportation","BCO"
"Health Care","BCR"
"Finance","BCRH"
"Finance","BCS"
,"BCS-PD"
,"BCX"
"Basic Industries","BDC"
,"BDC-PB"
,"BDJ"
"Consumer Services","BDN"
"Health Care","BDX"
"Health Care","BDXA"
"Consumer Services","BEDU"
"Consumer Services","BEL"
"Finance","BEN"
"Public Utilities","BEP"
"Consumer Non-Durables","BERY"
"Consumer Non-Durables","BETR"
,"BF.A"
"Miscellaneous","BFAM"
,"BF.B"
,"BFK"
,"BFO"
"Finance","BFR"
"Consumer Services","BFS"
,"BFS-PC"
,"BFZ"
"Consumer Non-Durables","BG"
,"BGB"
"Basic Industries","BGC"
"Finance","BGCA"
,"BGE-PB"
"Energy","BGG"
,"BGH"
,"BGIO"
,"BGR"
"Consumer Non-Durables","BGS"
,"BGT"
,"BGX"
,"BGY"
"Consumer Services","BH"
"Technology","BHE"
"Energy","BHI"
,"BHK"
,"BHL"
"Finance","BHLB"
"Basic Industries","BHP"
"Health Care","BHVN"
"Miscellaneous","BID"
,"BIF"
"Consumer Services","BIG"
"Capital Goods","BIO"
"Basic Industries","BIOA"
,"BIO.B"
"Consumer Services","BIP"
,"BIT"
"Technology","BITA"
,"BJZ"
"Finance","BK"
"Health Care","BKD"
"Consumer Services","BKE"
"Technology","BKFS"
"Public Utilities","BKH"
"Public Utilities","BKHU"
,"BKK"
,"BKN"
,"BK-PC"
"Consumer Services","BKS"
,"BKT"
"Finance","BKU"
"Basic Industries","BLD"
,"BLH"
"Finance","BLK"
"Consumer Durables","BLL"
"Finance","BLW"
"Finance","BLX"
"Finance","BMA"
,"BME"
"Capital Goods","BMI"
,"BML-PG"
,"BML-PH"
,"BML-PI"
,"BML-PJ"
,"BML-PL"
"Finance","BMO"
"Consumer Durables","BMS"
"Health Care","BMY"
"Consumer Services","BNED"
,"BNJ"
"Finance","BNS"
,"BNY"
,"BOE"
"Finance","BOH"
"Consumer Services","BOOT"
"Consumer Non-Durables","BORN"
"Technology","BOX"
"Consumer Services","BOXC"
"Energy","BP"
"Consumer Services","BPI"
,"BPK"
"Energy","BPL"
"Energy","BPT"
"Finance","BPY"
,"BQH"
"Miscellaneous","BR"
"Consumer Durables","BRC"
"Consumer Non-Durables","BRFS"
,"BRK.A"
,"BRK.B"
"Finance","BRO"
"Transportation","BRS"
"Capital Goods","BRSS"
"Consumer Services","BRT"
"Consumer Services","BRX"
"Finance","BSAC"
"Finance","BSBR"
,"BSD"
,"BSE"
,"BSL"
"Energy","BSM"
"Finance","BSMX"
,"BST"
"Health Care","BSX"
"Public Utilities","BT"
,"BTA"
"Energy","BTE"
,"BTO"
,"BTT"
"Energy","BTU"
,"BTZ"
"Consumer Non-Durables","BUD"
,"BUI"
"Consumer Services","BURL"
"Basic Industries","BVN"
"Capital Goods","BW"
"Capital Goods","BWA"
,"BWG"
"Public Utilities","BWP"
"Energy","BWXT"
"Finance","BX"
"Capital Goods","BXC"
"Energy","BXE"
"Consumer Services","BXMT"
,"BXMX"
"Consumer Services","BXP"
,"BXP-PB"
"Finance","BXS"
"Consumer Services","BYD"
,"BYM"
"Capital Goods","BZH"
"Finance","C"
"Capital Goods","CAA"
"Consumer Services","CAB"
"Consumer Services","CABO"
"Technology","CACI"
"Finance","CADE"
"Miscellaneous","CAE"
,"CAF"
"Consumer Non-Durables","CAG"
"Health Care","CAH"
"Technology","CAI"
"Miscellaneous","CAJ"
"Consumer Non-Durables","CAL"
"Consumer Services","CALX"
"Energy","CAPL"
"Technology","CARS"
"Capital Goods","CAT"
"Consumer Services","CATO"
"Finance","CB"
,"CBA"
"Public Utilities","CBB"
,"CBB-PB"
"Consumer Services","CBD"
"Finance","CBG"
"Basic Industries","CBI"
"Consumer Services","CBK"
"Consumer Services","CBL"
,"CBL-PD"
,"CBL-PE"
"Health Care","CBM"
,"CBO"
"Capital Goods","CBPX"
"Consumer Services","CBS"
,"CBS.A"
"Basic Industries","CBT"
"Finance","CBU"
,"CBX"
"Miscellaneous","CBZ"
"Basic Industries","CC"
"Basic Industries","CCC"
"Consumer Non-Durables","CCE"
"Consumer Services","CCI"
"Basic Industries","CCJ"
"Consumer Durables","CCK"
"Consumer Services","CCL"
"Health Care","CCM"
"Consumer Services","CCO"
"Consumer Services","CCP"
"Capital Goods","CCS"
"Consumer Non-Durables","CCU"
"Consumer Services","CCV"
"Consumer Services","CCZ"
"Basic Industries","CDE"
"Technology","CDI"
"Consumer Services","CDR"
,"CDR-PB"
"Basic Industries","CE"
"Transportation","CEA"
,"CEE"
"Public Utilities","CEL"
"Energy","CELP"
,"CEM"
,"CEN"
"Energy","CEO"
"Consumer Services","CEQP"
"Basic Industries","CF"
,"CFC-PB"
"Finance","CFG"
"Basic Industries","CFI"
"Finance","CFR"
,"CFR-PA"
"Capital Goods","CFX"
"Basic Industries","CGA"
"Energy","CGG"
"Transportation","CGI"
"Public Utilities","CHA"
"Consumer Services","CHCT"
"Basic Industries","CHD"
"Health Care","CHE"
"Consumer Services","CHGG"
"Consumer Services","CHH"
"Energy","CHK"
,"CHK-PD"
"Energy","CHKR"
"Public Utilities","CHL"
"Consumer Services","CHMI"
,"CHN"
"Consumer Services","CHS"
"Consumer Services","CHSP"
,"CHSP-PA.CL"
"Public Utilities","CHT"
"Public Utilities","CHU"
"Health Care","CI"
"Finance","CIA"
"Finance","CIB"
"Energy","CIE"
"Public Utilities","CIEN"
,"CIF"
"Public Utilities","CIG"
,"CIG.C"
,"CII"
"Consumer Services","CIM"
,"CIM-PA"
,"CIM-PB"
"Basic Industries","CINR"
"Consumer Services","CIO"
,"CIO-PA"
"Capital Goods","CIR"
"Finance","CIT"
"Health Care","CIVI"
"Energy","CJ"
"Transportation","CKH"
"Consumer Non-Durables","CL"
,"CLA.CL"
"Energy","CLB"
"Energy","CLD"
"Technology","CLDR"
"Consumer Services","CLDT"
"Basic Industries","CLF"
"Technology","CLGX"
"Basic Industries","CLH"
"Consumer Services","CLI"
"Consumer Services","CLNS"
,"CLNS-PA.CL"
,"CLNS-PB"
,"CLNS-PC"
,"CLNS-PD"
,"CLNS-PE"
,"CLNS-PF.CL"
,"CLNS-PG"
,"CLNS-PH"
,"CLNS-PI"
"Consumer Services","CLPR"
"Energy","CLR"
"Technology","CLS"
"Basic Industries","CLW"
"Consumer Durables","CLX"
"Finance","CM"
"Finance","CMA"
,"CMA.WS"
"Basic Industries","CMC"
"Technology","CMCM"
"Health Care","CMD"
"Consumer Services","CMG"
"Energy","CMI"
"Consumer Services","CMO"
,"CMO-PE"
"Basic Industries","CMP"
"Transportation","CMRE"
,"CMRE-PB"
,"CMRE-PC"
,"CMRE-PD"
"Public Utilities","CMS"
"Public Utilities","CMS-PB"
,"CMU"
"Finance","CNA"
"Health Care","CNC"
"Consumer Services","CNCO"
"Miscellaneous","CNDT"
"Capital Goods","CNHI"
"Transportation","CNI"
"Consumer Services","CNK"
"Public Utilities","CNNX"
"Finance","CNO"
"Public Utilities","CNP"
"Energy","CNQ"
"Finance","CNS"
"Energy","CNX"
"Energy","CNXC"
"Finance","CO"
"Consumer Durables","CODI"
"Consumer Services","COE"
"Finance","COF"
"Finance","COF-PC"
,"COF-PD"
,"COF-PF"
,"COF-PG"
,"COF-PH"
,"COF-PP"
,"COF.WS"
"Energy","COG"
"Consumer Non-Durables","COH"
"Capital Goods","COL"
"Health Care","COO"
"Energy","COP"
"Consumer Services","COR"
,"COR-PA"
"Consumer Services","CORR"
,"CORR-PA"
"Consumer Non-Durables","COT"
"Miscellaneous","COTV"
"Consumer Non-Durables","COTY"
"Transportation","CP"
"Transportation","CPA"
"Capital Goods","CPAC"
"Consumer Non-Durables","CPB"
,"C-PC"
"Energy","CPE"
"Energy","CPE-PA"
"Finance","CPF"
"Energy","CPG"
,"C-PJ"
"Public Utilities","CPK"
"Finance","C-PK"
"Public Utilities","CPL"
,"C-PL"
"Public Utilities","CPN"
"Finance","C-PN"
,"C-PP"
"Capital Goods","CPS"
,"C-PS"
"Consumer Services","CPT"
"Capital Goods","CR"
"Energy","CRC"
"Consumer Services","CRCM"
,"CRD.A"
,"CRD.B"
"Capital Goods","CRH"
"Consumer Non-Durables","CRI"
"Energy","CRK"
"Health Care","CRL"
"Technology","CRM"
"Capital Goods","CRR"
"Basic Industries","CRS"
"Energy","CRT"
"Health Care","CRY"
"Finance","CS"
"Basic Industries","CSL"
"Technology","CSLT"
"Technology","CSRA"
"Consumer Services","CSS"
"Consumer Durables","CST"
"Basic Industries","CSTM"
"Health Care","CSU"
"Consumer Services","CSV"
"Public Utilities","CTAA"
"Consumer Durables","CTB"
"Public Utilities","CTBB"
"Public Utilities","CTDD"
"Public Utilities","CTL"
"Health Care","CTLT"
,"CTR"
"Technology","CTS"
"Consumer Services","CTT"
"Public Utilities","CTU"
"Public Utilities","CTV"
"Public Utilities","CTW"
"Public Utilities","CTX"
"Public Utilities","CTY"
"Public Utilities","CTZ"
"Capital Goods","CUB"
"Consumer Services","CUBE"
"Finance","CUBI"
,"CUBI-PC"
,"CUBI-PD"
,"CUBI-PE"
,"CUBI-PF"
"Finance","CUBS"
"Technology","CUDA"
"Consumer Services","CUK"
"Consumer Services","CUZ"
"Basic Industries","CVA"
"Energy","CVE"
"Consumer Services","CVEO"
"Technology","CVG"
"Energy","CVI"
"Consumer Durables","CVNA"
"Consumer Durables","CVO"
"Energy","CVRR"
"Health Care","CVS"
"Energy","CVX"
"Technology","CW"
"Consumer Durables","CWH"
,"C.WS.A"
"Public Utilities","CWT"
"Capital Goods","CX"
,"CXE"
,"CXH"
"Energy","CXO"
"Consumer Services","CXP"
"Consumer Services","CXW"
"Energy","CYD"
"Health Care","CYH"
"Consumer Services","CYS"
,"CYS-PA"
,"CYS-PB"
"Consumer Non-Durables","CZZ"
"Public Utilities","D"
"Transportation","DAC"
"Transportation","DAL"
"Capital Goods","DAN"
"Consumer Non-Durables","DAR"
"Technology","DATA"
"Finance","DB"
"Miscellaneous","DBD"
,"DBL"
"Capital Goods","DCI"
"Technology","DCM"
"Capital Goods","DCO"
"Public Utilities","DCP"
"Consumer Services","DCT"
"Public Utilities","DCUC"
"Public Utilities","DCUD"
"Basic Industries","DD"
"Basic Industries","DDC"
"Technology","DDD"
"Consumer Services","DDE"
,"DDF"
"Basic Industries","DD-PA"
"Basic Industries","DD-PB"
"Consumer Services","DDR"
,"DDR-PA"
,"DDR-PJ"
,"DDR-PK"
"Consumer Services","DDS"
"Consumer Services","DDT"
"Capital Goods","DE"
"Consumer Services","DEA"
"Consumer Non-Durables","DECK"
"Consumer Services","DEI"
"Basic Industries","DEL"
"Consumer Non-Durables","DEO"
,"DEX"
"Consumer Non-Durables","DF"
"Consumer Services","DFIN"
,"DFP"
"Finance","DFS"
,"DFS-PB"
"Finance","DFT"
,"DFT-PC"
"Consumer Services","DG"
"Consumer Services","DGI"
"Health Care","DGX"
,"DHF"
,"DHG"
"Capital Goods","DHI"
"Capital Goods","DHR"
"Transportation","DHT"
"Miscellaneous","DHX"
,"DIAX"
"Consumer Services","DIN"
"Consumer Services","DIS"
"Energy","DK"
"Energy","DKL"
"Consumer Services","DKS"
"Finance","DKT"
"Consumer Services","DL"
"Miscellaneous","DLB"
"Consumer Services","DLNG"
,"DLNG-PA"
"Capital Goods","DLPH"
"Consumer Services","DLR"
,"DLR-PG"
,"DLR-PH"
,"DLR-PI"
"Consumer Durables","DLX"
"Public Utilities","DM"
,"DMB"
,"DMO"
"Finance","DNB"
,"DNI"
"Energy","DNOW"
,"DNP"
"Energy","DNR"
"Energy","DO"
"Consumer Services","DOC"
"Basic Industries","DOOR"
"Technology","DOV"
"Basic Industries","DOW"
,"DPG"
"Health Care","DPLO"
"Consumer Non-Durables","DPS"
"Consumer Non-Durables","DPZ"
"Technology","DQ"
,"DRA"
"Basic Industries","DRD"
"Consumer Services","DRE"
"Consumer Services","DRH"
"Consumer Services","DRI"
"Energy","DRQ"
"Public Utilities","DRUA"
"Consumer Services","DS"
,"DSE"
,"DSL"
,"DSM"
,"DS-PB"
,"DS-PC"
,"DS-PD"
"Technology","DST"
,"DSU"
"Consumer Services","DSW"
"Transportation","DSX"
"Transportation","DSXN"
,"DSX-PB"
"Public Utilities","DTE"
,"DTF"
"Public Utilities","DTJ"
"Finance","DTK"
,"DTLA-P"
"Public Utilities","DTQ"
"Public Utilities","DTV"
"Public Utilities","DTY"
,"DUC"
"Public Utilities","DUK"
"Public Utilities","DUKH"
"Health Care","DVA"
"Consumer Services","DVD"
"Technology","DVMT"
"Energy","DVN"
"Consumer Services","DX"
"Finance","DXB"
"Technology","DXC"
,"DX-PA"
,"DX-PB"
"Basic Industries","DY"
"Public Utilities","DYN"
"Public Utilities","DYNC"
,"DYN-PA"
,"DYN.WS"
,"DYN.WS.A"
"Energy","E"
"Public Utilities","EAB"
"Public Utilities","EAE"
"Public Utilities","EAI"
"Consumer Services","EARN"
"Consumer Services","EAT"
"Consumer Services","EBF"
"Public Utilities","EBR"
,"EBR.B"
"Health Care","EBS"
"Energy","EC"
"Energy","ECA"
,"ECC"
,"ECCA"
,"ECCB"
,"ECCZ"
"Basic Industries","ECL"
"Technology","ECOM"
"Energy","ECR"
"Energy","ECT"
"Public Utilities","ED"
,"EDD"
,"EDF"
,"EDI"
"Public Utilities","EDN"
"Consumer Services","EDR"
"Consumer Services","EDU"
"Public Utilities","EE"
,"EEA"
"Energy","EEP"
"Energy","EEQ"
"Miscellaneous","EEX"
"Finance","EFC"
,"EFF"
,"EFR"
,"EFT"
"Finance","EFX"
,"EGF"
,"EGIF"
"Consumer Services","EGL"
"Energy","EGN"
"Basic Industries","EGO"
"Consumer Services","EGP"
"Energy","EGY"
,"EHI"
"Consumer Services","EHIC"
,"EHT"
"Finance","EIG"
"Public Utilities","EIX"
"Consumer Non-Durables","EL"
"Public Utilities","ELC"
"Consumer Non-Durables","ELF"
"Public Utilities","ELJ"
"Technology","ELLI"
"Public Utilities","ELP"
"Consumer Services","ELS"
,"ELS-PC"
"Public Utilities","ELU"
"Finance","ELVT"
"Consumer Non-Durables","ELY"
,"EMD"
"Capital Goods","EME"
"Basic Industries","EMES"
,"EMF"
"Basic Industries","EMN"
,"EMO"
"Public Utilities","EMP"
"Energy","EMR"
"Energy","ENB"
"Public Utilities","ENBL"
,"ENH-PC"
"Public Utilities","ENIA"
"Public Utilities","ENIC"
"Public Utilities","ENJ"
"Public Utilities","ENLC"
"Public Utilities","ENLK"
"Public Utilities","ENO"
"Miscellaneous","ENR"
"Consumer Non-Durables","ENS"
"Miscellaneous","ENV"
"Finance","ENVA"
"Health Care","ENZ"
"Public Utilities","EOCC"
,"EOD"
"Energy","EOG"
,"EOI"
,"EOS"
,"EOT"
"Technology","EPAM"
"Consumer Non-Durables","EPC"
"Public Utilities","EPD"
"Energy","EPE"
"Public Utilities","EP-PC"
"Consumer Services","EPR"
,"EPR-PC"
,"EPR-PE"
,"EPR-PF"
"Consumer Services","EQC"
"Consumer Services","EQCO"
,"EQC-PD"
"Public Utilities","EQGP"
"Public Utilities","EQM"
"Consumer Services","EQR"
,"EQS"
"Energy","EQT"
"Transportation","ERA"
"Energy","ERF"
"Capital Goods","ERJ"
"Consumer Services","EROS"
"Public Utilities","ES"
"Consumer Durables","ESE"
"Capital Goods","ESL"
"Finance","ESNT"
"Consumer Services","ESRT"
"Consumer Services","ESS"
"Energy","ESTE"
"Energy","ESV"
,"ETB"
"Public Utilities","ETE"
,"ETG"
"Consumer Durables","ETH"
,"ETJ"
"Consumer Services","ETM"
"Technology","ETN"
,"ETO"
"Energy","ETP"
"Public Utilities","ETR"
,"ETV"
,"ETW"
,"ETX"
,"ETY"
"Transportation","EURN"
"Finance","EV"
"Basic Industries","EVA"
"Consumer Services","EVC"
,"EVF"
,"EVG"
"Consumer Services","EVH"
"Health Care","EVHC"
,"EVHC-P"
,"EVN"
"Finance","EVR"
"Finance","EVRI"
,"EVT"
"Technology","EVTC"
"Health Care","EW"
"Public Utilities","EXC"
,"EXD"
,"EXG"
"Basic Industries","EXK"
"Capital Goods","EXP"
"Consumer Services","EXPR"
"Consumer Services","EXR"
"Technology","EXTN"
"Public Utilities","EZT"
"Capital Goods","F"
"Finance","FAC"
"Finance","FAF"
,"FAM"
"Finance","FBC"
"Basic Industries","FBHS"
"Finance","FBK"
"Consumer Services","FBM"
"Finance","FBP"
"Basic Industries","FBR"
"Consumer Services","FC"
"Capital Goods","FCAU"
"Finance","FCB"
,"FCE.A"
"Finance","FCF"
"Consumer Services","FCFS"
"Consumer Services","FCH"
"Consumer Services","FCH-PA"
"Consumer Services","FCN"
"Consumer Services","FCPT"
,"FCT"
"Basic Industries","FCX"
"Miscellaneous","FDC"
,"FDEU"
"Consumer Non-Durables","FDP"
"Technology","FDS"
"Transportation","FDX"
"Public Utilities","FE"
,"FEI"
"Energy","FELP"
"Consumer Services","FENG"
,"FEO"
"Energy","FET"
"Basic Industries","FF"
,"FFA"
,"FFC"
"Finance","FFG"
,"FGB"
"Finance","FGL"
"Consumer Services","FGP"
"Finance","FHN"
,"FHN-PA"
,"FHY"
"Energy","FI"
"Miscellaneous","FICO"
,"FIF"
"Finance","FIG"
"Finance","FII"
"Miscellaneous","FIS"
"Technology","FIT"
,"FIV"
"Capital Goods","FIX"
"Consumer Services","FL"
,"FLC"
"Consumer Non-Durables","FLO"
"Technology","FLOW"
"Basic Industries","FLR"
"Capital Goods","FLS"
"Miscellaneous","FLT"
,"FLY"
"Basic Industries","FMC"
,"FMN"
,"FMO"
"Health Care","FMS"
"Basic Industries","FMSA"
"Consumer Non-Durables","FMX"
,"FMY"
"Public Utilities","FN"
"Finance","FNB"
,"FNB-PE"
"Consumer Services","FND"
"Finance","FNF"
"Finance","FNFV"
"Basic Industries","FNV"
"Basic Industries","FOE"
,"FOF"
"Finance","FOR"
,"FPF"
"Finance","FPH"
"Consumer Services","FPI"
,"FPL"
"Consumer Services","FPO"
,"FPT"
"Consumer Services","FR"
,"FRA"
"Energy","FRAC"
,"FRC"
,"FRC-PC"
,"FRC-PD"
,"FRC-PE"
,"FRC-PF"
,"FRC-PG"
,"FRC-PH"
"Transportation","FRO"
"Consumer Services","FRT"
"Finance","FSB"
,"FSCE"
,"FSD"
,"FSIC"
"Basic Industries","FSM"
"Capital Goods","FSS"
,"FT"
,"FTAI"
"Energy","FTI"
"Basic Industries","FTK"
"Public Utilities","FTS"
"Capital Goods","FTV"
"Basic Industries","FUL"
"Consumer Services","FUN"
"Consumer Services","G"
,"GAB"
,"GAB-PD"
,"GAB-PG"
,"GAB-PH"
,"GAB-PJ"
,"GAM"
,"GAM-PB"
"Consumer Services","GATX"
,"GBAB"
"Finance","GBL"
"Capital Goods","GBX"
"Finance","GCAP"
,"GCH"
"Consumer Services","GCI"
"Consumer Services","GCO"
"Basic Industries","GCP"
,"GCV"
,"GCV-PB"
"Capital Goods","GD"
"Technology","GDDY"
"Technology","GDI"
,"GDL"
,"GDL-PB"
,"GDO"
"Finance","GDOT"
,"GDV"
,"GDV-PA"
,"GDV-PD"
,"GDV-PG"
"Energy","GE"
"Energy","GEB"
,"GEF"
,"GEF.B"
"Energy","GEH"
"Energy","GEK"
"Energy","GEL"
"Health Care","GEN"
"Consumer Services","GEO"
,"GER"
"Consumer Non-Durables","GES"
,"GF"
"Basic Industries","GFA"
"Capital Goods","GFF"
"Basic Industries","GFI"
,"GFY"
"Basic Industries","GG"
"Capital Goods","GGB"
"Capital Goods","GGG"
,"GGM"
"Consumer Services","GGP"
"Consumer Services","GGP-PA"
,"GGT"
,"GGT-PB"
,"GGZ"
,"GGZ-PA"
"Consumer Services","GHC"
"Finance","GHL"
"Technology","GHM"
,"GHY"
"Consumer Services","GIB"
"Consumer Non-Durables","GIL"
,"GIM"
"Technology","GIMO"
"Consumer Non-Durables","GIS"
"Finance","GJH"
"Finance","GJO"
,"GJP"
,"GJR"
"Finance","GJS"
"Finance","GJT"
"Finance","GJV"
"Health Care","GKOS"
"Technology","GLA"
"Technology","GLOB"
"Consumer Services","GLOG"
,"GLOG-PA"
"Consumer Services","GLOP"
,"GLOP-PA"
"Energy","GLP"
"Basic Industries","GLT"
"Basic Industries","GLW"
