"Sector","Symbol"
"Technology","CLNT"
"Health Care","CLRB"
"Health Care","CLRBW"
"Health Care","CLRBZ"
"Public Utilities","CLRO"
"Health Care","CLSD"
"Health Care","CLSN"
"Consumer Services","CLUB"
"Health Care","CLVS"
"Consumer Durables","CLWT"
"Capital Goods","CMCO"
"Consumer Services","CMCSA"
"Consumer Services","CMCT"
"Finance","CME"
,"CMFN"
"Consumer Services","CMLS"
"Miscellaneous","CMPR"
"Health Care","CMRX"
"Technology","CMTL"
"Health Care","CNAT"
"Finance","CNBKA"
"Health Care","CNCE"
,"CNCR"
"Technology","CNET"
"Finance","CNFR"
"Technology","CNIT"
"Health Care","CNMD"
"Finance","CNOB"
"Public Utilities","CNSL"
,"CNTF"
"Consumer Services","CNTY"
"Consumer Services","CNXN"
"Technology","CNXR"
"Finance","COBZ"
"Consumer Services","COGT"
"Capital Goods","COHR"
"Capital Goods","COHU"
"Consumer Non-Durables","COKE"
"Finance","COLB"
"Health Care","COLL"
"Consumer Non-Durables","COLM"
"Technology","COMM"
,"COMT"
"Consumer Services","CONE"
"Consumer Services","CONN"
"Technology","COOL"
"Consumer Non-Durables","CORE"
"Health Care","CORI"
"Health Care","CORT"
"Consumer Services","COST"
"Technology","COUP"
"Technology","COVS"
"Finance","COWN"
"Finance","COWNL"
"Finance","CPAA"
"Finance","CPAAU"
"Finance","CPAAW"
"Technology","CPAH"
"Consumer Services","CPHC"
"Health Care","CPIX"
"Consumer Services","CPLA"
"Transportation","CPLP"
"Consumer Durables","CPRT"
"Health Care","CPRX"
"Capital Goods","CPSH"
"Technology","CPSI"
"Finance","CPSS"
"Energy","CPST"
,"CPTA"
,"CPTAG"
,"CPTAL"
"Miscellaneous","CRAI"
"Technology","CRAY"
"Health Care","CRBP"
"Technology","CRDS"
,"CRDT"
"Technology","CREE"
"Miscellaneous","CREG"
"Finance","CRESY"
"Health Care","CRIS"
"Health Care","CRME"
"Consumer Durables","CRMT"
"Technology","CRNT"
"Consumer Non-Durables","CROX"
"Health Care","CRSP"
"Consumer Services","CRTN"
"Technology","CRTO"
"Technology","CRUS"
"Finance","CRVL"
"Health Care","CRVS"
"Basic Industries","CRWS"
"Energy","CRZO"
,"CSA"
,"CSB"
"Finance","CSBK"
"Health Care","CSBR"
"Technology","CSCO"
,"CSF"
"Finance","CSFL"
"Miscellaneous","CSGP"
"Technology","CSGS"
"Health Care","CSII"
"Technology","CSIQ"
,"CSML"
"Technology","CSOD"
"Technology","CSPI"
,"CSQ"
"Capital Goods","CSTE"
"Finance","CSTR"
,"CSWC"
"Basic Industries","CSWI"
"Transportation","CSX"
"Consumer Non-Durables","CTAS"
"Finance","CTBI"
"Technology","CTG"
"Consumer Durables","CTHR"
"Basic Industries","CTIB"
"Health Care","CTIC"
"Health Care","CTMX"
"Consumer Services","CTRE"
"Capital Goods","CTRL"
"Consumer Services","CTRN"
"Miscellaneous","CTRP"
"Health Care","CTRV"
"Technology","CTSH"
"Health Care","CTSO"
"Public Utilities","CTWS"
"Technology","CTXS"
,"CUBA"
,"CUBN"
"Consumer Non-Durables","CUI"
"Finance","CUNB"
"Health Care","CUR"
"Health Care","CUTR"
"Finance","CVBF"
"Basic Industries","CVCO"
"Finance","CVCY"
"Capital Goods","CVGI"
"Consumer Non-Durables","CVGW"
"Technology","CVLT"
"Finance","CVLY"
"Transportation","CVTI"
"Technology","CVV"
"Finance","CWAY"
"Finance","CWBC"
"Public Utilities","CWCO"
"Public Utilities","CWST"
"Capital Goods","CXDC"
"Health Care","CXRX"
,"CXSE"
"Technology","CY"
"Health Care","CYAD"
"Consumer Durables","CYAN"
"Capital Goods","CYBE"
"Technology","CYBR"
"Health Care","CYCC"
"Health Care","CYCCP"
"Health Care","CYHHZ"
"Technology","CYOU"
"Technology","CYRN"
"Transportation","CYRX"
"Transportation","CYRXW"
"Health Care","CYTK"
"Health Care","CYTR"
"Health Care","CYTX"
"Health Care","CYTXW"
"Finance","CZFC"
"Finance","CZNC"
"Consumer Services","CZR"
"Finance","CZWI"
"Capital Goods","DAIO"
"Consumer Durables","DAKT"
"Consumer Services","DAVE"
,"DAX"
"Health Care","DBVT"
"Transportation","DCIX"
"Finance","DCOM"
"Health Care","DCTH"
,"DDBI"
"Basic Industries","DELT"
"Basic Industries","DELTW"
"Consumer Services","DENN"
"Health Care","DEPO"
"Health Care","DERM"
"Consumer Services","DEST"
"Consumer Non-Durables","DFBG"
"Health Care","DFFN"
,"DFNL"
"Consumer Services","DFRG"
"Finance","DFVL"
"Finance","DFVS"
"Public Utilities","DGAS"
"Finance","DGICA"
"Finance","DGICB"
"Technology","DGII"
"Finance","DGLD"
"Technology","DGLT"
"Technology","DGLY"
,"DGRE"
,"DGRS"
,"DGRW"
"Finance","DHIL"
,"DHXM"
"Technology","DIOD"
"Consumer Services","DISCA"
"Consumer Services","DISCB"
"Consumer Services","DISCK"
"Consumer Services","DISH"
"Consumer Services","DJCO"
"Finance","DLBL"
"Finance","DLBS"
"Technology","DLHC"
"Consumer Services","DLTH"
"Consumer Services","DLTR"
"Energy","DMLP"
"Health Care","DMPI"
"Technology","DMRC"
"Health Care","DMTX"
"Finance","DNBF"
"Consumer Services","DNKN"
"Capital Goods","DORM"
"Technology","DOX"
"Health Care","DRAD"
"Technology","DRAM"
"Health Care","DRIO"
"Health Care","DRIOW"
"Health Care","DRNA"
"Health Care","DRRX"
"Public Utilities","DRWI"
"Transportation","DRYS"
"Technology","DSGX"
"Consumer Services","DSKE"
"Consumer Services","DSKEW"
"Finance","DSLV"
"Technology","DSPG"
"Consumer Non-Durables","DSWL"
"Consumer Non-Durables","DTEA"
"Technology","DTRM"
"Finance","DTUL"
"Finance","DTUS"
"Finance","DTYL"
"Finance","DTYS"
,"DUSA"
"Health Care","DVAX"
"Health Care","DVCR"
,"DWAC"
,"DWAQ"
,"DWAS"
,"DWAT"
"Technology","DWCH"
,"DWFI"
,"DWIN"
,"DWLD"
,"DWLV"
"Energy","DWSN"
,"DWTR"
"Health Care","DXCM"
,"DXGE"
,"DXJS"
"Consumer Services","DXLG"
"Capital Goods","DXPE"
,"DXPS"
"Health Care","DXTR"
"Consumer Durables","DXYN"
"Health Care","DYNT"
"Capital Goods","DYSL"
"Public Utilities","DZSI"
"Technology","EA"
"Capital Goods","EACQ"
"Capital Goods","EACQU"
"Capital Goods","EACQW"
"Finance","EAGL"
"Finance","EAGLU"
"Finance","EAGLW"
"Health Care","EARS"
"Miscellaneous","EBAY"
"Miscellaneous","EBAYL"
"Health Care","EBIO"
"Technology","EBIX"
"Finance","EBMT"
"Finance","EBSB"
"Finance","EBTC"
"Transportation","ECHO"
"Public Utilities","ECOL"
"Finance","ECPG"
"Health Care","ECYT"
"Health Care","EDAP"
,"EDBI"
"Health Care","EDGE"
"Technology","EDGW"
"Health Care","EDIT"
"Consumer Durables","EDUC"
"Finance","EEFT"
"Consumer Services","EEI"
,"EEMA"
,"EFAS"
"Technology","EFII"
"Consumer Durables","EFOI"
"Finance","EFSC"
"Technology","EGAN"
"Finance","EGBN"
"Public Utilities","EGHT"
"Transportation","EGLE"
"Health Care","EGLT"
"Miscellaneous","EGOV"
"Health Care","EGRX"
"Consumer Durables","EGT"
"Finance","EHTH"
"Technology","EIGI"
"Health Care","EIGR"
"Capital Goods","EKSO"
"Finance","ELEC"
"Finance","ELECU"
"Finance","ELECW"
"Health Care","ELGX"
"Technology","ELON"
"Health Care","ELOS"
"Capital Goods","ELSE"
"Technology","ELTK"
,"EMCB"
"Finance","EMCF"
,"EMCG"
"Finance","EMCI"
,"EMIF"
"Consumer Services","EMITF"
"Technology","EMKR"
"Capital Goods","EML"
"Consumer Services","EMMS"
"Health Care","ENDP"
"Finance","ENFC"
"Consumer Services","ENG"
"Technology","ENOC"
"Technology","ENPH"
"Health Care","ENSG"
"Consumer Services","ENT"
"Health Care","ENTA"
"Consumer Non-Durables","ENTG"
"Health Care","ENTL"
,"ENZL"
"Consumer Durables","ENZY"
"Technology","EPAY"
"Health Care","EPIX"
"Health Care","EPZM"
"Finance","EQBK"
"Finance","EQFN"
"Consumer Services","EQIX"
"Consumer Services","ERI"
"Technology","ERIC"
"Finance","ERIE"
"Technology","ERII"
"Finance","ESBK"
"Consumer Non-Durables","ESCA"
"Transportation","ESEA"
"Energy","ESES"
,"ESG"
,"ESGD"
,"ESGE"
,"ESGG"
"Finance","ESGR"
,"ESGU"
"Miscellaneous","ESIO"
"Capital Goods","ESLT"
"Consumer Services","ESND"
"Health Care","ESPR"
"Health Care","ESRX"
"Finance","ESSA"
"Finance","ESXB"
"Finance","ETFC"
"Health Care","ETRM"
"Miscellaneous","ETSY"
,"EUFN"
"Health Care","EVAR"
,"EVBG"
"Finance","EVBS"
"Energy","EVEP"
,"EVGBC"
"Basic Industries","EVGN"
"Consumer Non-Durables","EVK"
,"EVLMC"
"Consumer Services","EVLV"
"Health Care","EVOK"
"Technology","EVOL"
,"EVSTC"
"Finance","EWBC"
,"EWZS"
"Technology","EXA"
"Health Care","EXAC"
"Health Care","EXAS"
"Health Care","EXEL"
"Capital Goods","EXFO"
"Miscellaneous","EXLS"
"Transportation","EXPD"
"Consumer Services","EXPE"
"Consumer Services","EXPO"
"Technology","EXTR"
"Energy","EXXI"
"Health Care","EYEG"
"Health Care","EYEGW"
,"EYES"
"Health Care","EYESW"
"Consumer Services","EZPW"
,"FAAR"
,"FAB"
,"FAD"
"Technology","FALC"
,"FALN"
"Energy","FANG"
"Finance","FANH"
"Consumer Non-Durables","FARM"
"Capital Goods","FARO"
"Consumer Services","FAST"
"Health Care","FATE"
"Technology","FB"
"Health Care","FBIO"
"Finance","FBIZ"
"Finance","FBMS"
"Finance","FBNC"
"Finance","FBNK"
"Finance","FBSS"
,"FBZ"
,"FCA"
,"FCAN"
"Finance","FCAP"
"Finance","FCBC"
"Finance","FCCO"
"Finance","FCCY"
,"FCEF"
"Miscellaneous","FCEL"
"Finance","FCFP"
"Consumer Services","FCFS"
"Finance","FCNCA"
"Health Care","FCSC"
,"FCVT"
"Finance","FDEF"
,"FDIV"
,"FDT"
,"FDTS"
,"FDUS"
"Capital Goods","FEIM"
"Consumer Durables","FELE"
,"FEM"
,"FEMB"
,"FEMS"
"Consumer Services","FENX"
,"FEP"
,"FEUZ"
,"FEX"
"Technology","FEYE"
"Finance","FFBC"
"Finance","FFBCW"
"Capital Goods","FFHL"
"Finance","FFIC"
"Finance","FFIN"
"Technology","FFIV"
"Finance","FFKT"
"Finance","FFNW"
"Finance","FFWM"
"Finance","FGBI"
"Health Care","FGEN"
,"FGM"
"Miscellaneous","FH"
"Finance","FHB"
"Basic Industries","FHCO"
,"FHK"
"Finance","FIBK"
"Consumer Services","FINL"
,"FINQ"
,"FINX"
"Finance","FISI"
"Technology","FISV"
"Finance","FITB"
"Finance","FITBI"
,"FITS"
"Consumer Services","FIVE"
"Technology","FIVN"
,"FIXD"
"Consumer Non-Durables","FIZZ"
,"FJP"
,"FKLYU"
,"FKO"
,"FKU"
,"FLAG"
"Finance","FLAT"
"Capital Goods","FLDM"
"Technology","FLEX"
"Health Care","FLGT"
"Finance","FLIC"
"Capital Goods","FLIR"
"Health Care","FLKS"
"Consumer Services","FLL"
,"FLN"
"Consumer Services","FLWS"
"Health Care","FLXN"
"Consumer Durables","FLXS"
"Finance","FMAO"
,"FMB"
"Finance","FMBH"
"Finance","FMBI"
"Finance","FMCI"
"Finance","FMCIR"
"Finance","FMCIU"
"Finance","FMCIW"
"Health Care","FMI"
,"FMK"
"Finance","FMNB"
"Finance","FNBG"
"Technology","FNCX"
"Finance","FNGN"
"Finance","FNHC"
"Miscellaneous","FNJN"
,"FNK"
"Finance","FNLC"
"Technology","FNSR"
"Finance","FNTE"
"Finance","FNTEU"
"Finance","FNTEW"
"Finance","FNWB"
,"FNX"
,"FNY"
,"FOANC"
"Consumer Services","FOGO"
"Health Care","FOLD"
"Consumer Durables","FOMX"
,"FONE"
"Health Care","FONR"
"Consumer Non-Durables","FORD"
"Consumer Non-Durables","FORK"
"Technology","FORM"
"Consumer Services","FORR"
"Technology","FORTY"
"Consumer Non-Durables","FOSL"
"Consumer Services","FOX"
"Consumer Services","FOXA"
"Consumer Non-Durables","FOXF"
,"FPA"
"Technology","FPAY"
"Health Care","FPRX"
,"FPXI"
"Consumer Services","FRAN"
,"FRBA"
"Finance","FRBK"
"Consumer Services","FRED"
"Consumer Services","FRGI"
"Finance","FRME"
"Public Utilities","FRP"
"Finance","FRPH"
"Consumer Non-Durables","FRPT"
"Consumer Services","FRSH"
,"FRSX"
"Capital Goods","FRTA"
"Finance","FSAM"
"Finance","FSBC"
"Finance","FSBK"
"Finance","FSBW"
,"FSC"
,"FSCFL"
"Finance","FSFG"
,"FSFR"
"Technology","FSLR"
"Technology","FSNN"
"Basic Industries","FSTR"
"Finance","FSV"
,"FSZ"
,"FTA"
,"FTAG"
,"FTC"
,"FTCS"
"Consumer Services","FTD"
"Capital Goods","FTEK"
,"FTEO"
"Consumer Non-Durables","FTFT"
,"FTGC"
,"FTHI"
,"FTLB"
"Technology","FTNT"
"Public Utilities","FTR"
,"FTRI"
"Public Utilities","FTRPR"
,"FTSL"
,"FTSM"
,"FTW"
,"FTXD"
,"FTXG"
,"FTXH"
,"FTXL"
,"FTXN"
,"FTXO"
,"FTXR"
"Technology","FUEL"
,"FULLL"
"Finance","FULT"
"Finance","FUNC"
,"FUND"
"Finance","FUSB"
,"FV"
,"FVC"
"Health Care","FVE"
"Consumer Services","FWONA"
"Consumer Services","FWONK"
"Health Care","FWP"
"Transportation","FWRD"
,"FYC"
,"FYT"
,"FYX"
"Finance","GABC"
"Consumer Services","GAIA"
,"GAIN"
,"GAINM"
,"GAINN"
,"GAINO"
